Product ID,Location,Latitude,Longitude
0,"Boston, MA",42.3601,-71.0589
1,"Boston, MA",42.3601,-71.0589
2,"Atlanta, GA",33.749,-84.388
3,"Miami, FL",25.7617,-80.1918
4,"Denver, CO",39.7392,-104.9903
5,"Seattle, WA",47.6062,-122.3321
6,"Boston, MA",42.3601,-71.0589
7,"San Francisco, CA",37.7749,-122.4194
8,"Houston, TX",29.7604,-95.3698
9,"Atlanta, GA",33.749,-84.388
10,"Houston, TX",29.7604,-95.3698
11,"Miami, FL",25.7617,-80.1918
12,"New York, NY",40.7128,-74.006
13,"Los Angeles, CA",34.0522,-118.2437
14,"Atlanta, GA",33.749,-84.388
15,"Atlanta, GA",33.749,-84.388
16,"Atlanta, GA",33.749,-84.388
17,"Los Angeles, CA",34.0522,-118.2437
18,"Houston, TX",29.7604,-95.3698
19,"San Francisco, CA",37.7749,-122.4194
20,"San Francisco, CA",37.7749,-122.4194
21,"Boston, MA",42.3601,-71.0589
22,"New York, NY",40.7128,-74.006
23,"San Francisco, CA",37.7749,-122.4194
24,"Seattle, WA",47.6062,-122.3321
25,"Los Angeles, CA",34.0522,-118.2437
26,"Boston, MA",42.3601,-71.0589
27,"Seattle, WA",47.6062,-122.3321
28,"Chicago, IL",41.8781,-87.6298
29,"Miami, FL",25.7617,-80.1918
30,"Miami, FL",25.7617,-80.1918
31,"Houston, TX",29.7604,-95.3698
32,"Houston, TX",29.7604,-95.3698
33,"San Francisco, CA",37.7749,-122.4194
34,"Denver, CO",39.7392,-104.9903
35,"Boston, MA",42.3601,-71.0589
36,"Houston, TX",29.7604,-95.3698
37,"Denver, CO",39.7392,-104.9903
38,"New York, NY",40.7128,-74.006
39,"Denver, CO",39.7392,-104.9903
40,"San Francisco, CA",37.7749,-122.4194
41,"Houston, TX",29.7604,-95.3698
42,"Denver, CO",39.7392,-104.9903
43,"Miami, FL",25.7617,-80.1918
44,"New York, NY",40.7128,-74.006
45,"New York, NY",40.7128,-74.006
46,"New York, NY",40.7128,-74.006
47,"Houston, TX",29.7604,-95.3698
48,"Boston, MA",42.3601,-71.0589
49,"New York, NY",40.7128,-74.006
50,"Los Angeles, CA",34.0522,-118.2437
51,"Chicago, IL",41.8781,-87.6298
52,"Chicago, IL",41.8781,-87.6298
53,"Seattle, WA",47.6062,-122.3321
54,"Denver, CO",39.7392,-104.9903
55,"Los Angeles, CA",34.0522,-118.2437
56,"New York, NY",40.7128,-74.006
57,"Seattle, WA",47.6062,-122.3321
58,"Chicago, IL",41.8781,-87.6298
59,"Atlanta, GA",33.749,-84.388
60,"Houston, TX",29.7604,-95.3698
61,"Miami, FL",25.7617,-80.1918
62,"Boston, MA",42.3601,-71.0589
63,"Chicago, IL",41.8781,-87.6298
64,"Denver, CO",39.7392,-104.9903
65,"Chicago, IL",41.8781,-87.6298
66,"Atlanta, GA",33.749,-84.388
67,"Miami, FL",25.7617,-80.1918
68,"Seattle, WA",47.6062,-122.3321
69,"Houston, TX",29.7604,-95.3698
70,"New York, NY",40.7128,-74.006
71,"Chicago, IL",41.8781,-87.6298
72,"Miami, FL",25.7617,-80.1918
73,"Miami, FL",25.7617,-80.1918
74,"Denver, CO",39.7392,-104.9903
75,"Chicago, IL",41.8781,-87.6298
76,"Miami, FL",25.7617,-80.1918
77,"Boston, MA",42.3601,-71.0589
78,"San Francisco, CA",37.7749,-122.4194
79,"San Francisco, CA",37.7749,-122.4194
80,"Atlanta, GA",33.749,-84.388
81,"New York, NY",40.7128,-74.006
82,"New York, NY",40.7128,-74.006
83,"Atlanta, GA",33.749,-84.388
84,"San Francisco, CA",37.7749,-122.4194
85,"New York, NY",40.7128,-74.006
86,"Chicago, IL",41.8781,-87.6298
87,"Los Angeles, CA",34.0522,-118.2437
88,"New York, NY",40.7128,-74.006
89,"San Francisco, CA",37.7749,-122.4194
90,"Denver, CO",39.7392,-104.9903
91,"San Francisco, CA",37.7749,-122.4194
92,"New York, NY",40.7128,-74.006
