Product ID,Location,Latitude,Longitude
0,"San Francisco, CA",37.7749,-122.4194
1,"Atlanta, GA",33.749,-84.388
2,"Miami, FL",25.7617,-80.1918
3,"Denver, CO",39.7392,-104.9903
4,"Houston, TX",29.7604,-95.3698
5,"Los Angeles, CA",34.0522,-118.2437
6,"Seattle, WA",47.6062,-122.3321
7,"Denver, CO",39.7392,-104.9903
8,"San Francisco, CA",37.7749,-122.4194
9,"New York, NY",40.7128,-74.006
10,"Denver, CO",39.7392,-104.9903
11,"Houston, TX",29.7604,-95.3698
12,"Chicago, IL",41.8781,-87.6298
13,"San Francisco, CA",37.7749,-122.4194
14,"Chicago, IL",41.8781,-87.6298
15,"Los Angeles, CA",34.0522,-118.2437
16,"Boston, MA",42.3601,-71.0589
17,"Seattle, WA",47.6062,-122.3321
18,"New York, NY",40.7128,-74.006
19,"Miami, FL",25.7617,-80.1918
20,"New York, NY",40.7128,-74.006
21,"Atlanta, GA",33.749,-84.388
22,"New York, NY",40.7128,-74.006
23,"Denver, CO",39.7392,-104.9903
24,"Denver, CO",39.7392,-104.9903
25,"Seattle, WA",47.6062,-122.3321
26,"Houston, TX",29.7604,-95.3698
27,"Seattle, WA",47.6062,-122.3321
28,"Houston, TX",29.7604,-95.3698
29,"Atlanta, GA",33.749,-84.388
30,"Los Angeles, CA",34.0522,-118.2437
31,"New York, NY",40.7128,-74.006
32,"New York, NY",40.7128,-74.006
33,"San Francisco, CA",37.7749,-122.4194
34,"Houston, TX",29.7604,-95.3698
35,"Chicago, IL",41.8781,-87.6298
36,"Seattle, WA",47.6062,-122.3321
37,"Houston, TX",29.7604,-95.3698
38,"Miami, FL",25.7617,-80.1918
39,"Atlanta, GA",33.749,-84.388
40,"New York, NY",40.7128,-74.006
41,"Seattle, WA",47.6062,-122.3321
42,"Seattle, WA",47.6062,-122.3321
43,"Denver, CO",39.7392,-104.9903
44,"Chicago, IL",41.8781,-87.6298
45,"Houston, TX",29.7604,-95.3698
46,"Boston, MA",42.3601,-71.0589
47,"Boston, MA",42.3601,-71.0589
48,"Houston, TX",29.7604,-95.3698
49,"Houston, TX",29.7604,-95.3698
50,"Atlanta, GA",33.749,-84.388
51,"Seattle, WA",47.6062,-122.3321
52,"Miami, FL",25.7617,-80.1918
53,"Atlanta, GA",33.749,-84.388
54,"New York, NY",40.7128,-74.006
55,"Boston, MA",42.3601,-71.0589
56,"New York, NY",40.7128,-74.006
57,"Seattle, WA",47.6062,-122.3321
58,"San Francisco, CA",37.7749,-122.4194
59,"Miami, FL",25.7617,-80.1918
60,"Los Angeles, CA",34.0522,-118.2437
61,"New York, NY",40.7128,-74.006
62,"Seattle, WA",47.6062,-122.3321
63,"Seattle, WA",47.6062,-122.3321
64,"Seattle, WA",47.6062,-122.3321
65,"Seattle, WA",47.6062,-122.3321
66,"Miami, FL",25.7617,-80.1918
67,"Atlanta, GA",33.749,-84.388
68,"Atlanta, GA",33.749,-84.388
69,"Los Angeles, CA",34.0522,-118.2437
70,"Houston, TX",29.7604,-95.3698
71,"San Francisco, CA",37.7749,-122.4194
72,"San Francisco, CA",37.7749,-122.4194
73,"San Francisco, CA",37.7749,-122.4194
74,"Houston, TX",29.7604,-95.3698
75,"Denver, CO",39.7392,-104.9903
76,"Atlanta, GA",33.749,-84.388
77,"Boston, MA",42.3601,-71.0589
78,"Atlanta, GA",33.749,-84.388
79,"Miami, FL",25.7617,-80.1918
80,"New York, NY",40.7128,-74.006
81,"New York, NY",40.7128,-74.006
82,"Los Angeles, CA",34.0522,-118.2437
83,"Denver, CO",39.7392,-104.9903
84,"Denver, CO",39.7392,-104.9903
85,"New York, NY",40.7128,-74.006
86,"Boston, MA",42.3601,-71.0589
87,"San Francisco, CA",37.7749,-122.4194
88,"Miami, FL",25.7617,-80.1918
