UserID,ProductID,TrustScore
USER00000000,PROD00000000,5
USER00000001,PROD00000001,3
USER00000002,PROD00000002,5
USER00000003,PROD00000003,5
USER00000004,PROD00000004,2
USER00000005,PROD00000005,3
USER00000006,PROD00000006,3
USER00000007,PROD00000007,1
USER00000008,PROD00000008,5
USER00000009,PROD00000009,1
USER00000010,PROD00000010,3
USER00000011,PROD00000011,5
USER00000012,PROD00000012,2
USER00000013,PROD00000013,2
USER00000014,PROD00000014,2
USER00000015,PROD00000015,4
USER00000016,PROD00000016,4
USER00000017,PROD00000017,1
USER00000018,PROD00000018,5
USER00000019,PROD00000019,2
USER00000020,PROD00000020,5
USER00000021,PROD00000021,4
USER00000022,PROD00000022,4
USER00000023,PROD00000023,1
USER00000024,PROD00000024,3
USER00000025,PROD00000025,3
USER00000026,PROD00000026,2
USER00000027,PROD00000027,4
USER00000028,PROD00000028,2
USER00000029,PROD00000029,3
USER00000030,PROD00000030,1
USER00000031,PROD00000031,4
USER00000032,PROD00000032,2
USER00000033,PROD00000033,3
USER00000034,PROD00000034,4
USER00000035,PROD00000035,5
USER00000036,PROD00000036,5
USER00000037,PROD00000037,1
USER00000038,PROD00000038,2
USER00000039,PROD00000039,4
USER00000040,PROD00000040,1
USER00000041,PROD00000041,4
USER00000042,PROD00000042,2
USER00000043,PROD00000043,2
USER00000044,PROD00000044,1
USER00000045,PROD00000045,2
USER00000046,PROD00000046,4
USER00000047,PROD00000047,2
USER00000048,PROD00000048,4
USER00000049,PROD00000049,2
USER00000050,PROD00000050,4
USER00000051,PROD00000051,4
USER00000052,PROD00000052,5
USER00000053,PROD00000053,3
USER00000054,PROD00000054,1
USER00000055,PROD00000055,4
USER00000056,PROD00000056,2
USER00000057,PROD00000057,1
USER00000058,PROD00000058,1
USER00000059,PROD00000059,2
USER00000060,PROD00000060,4
USER00000061,PROD00000061,5
USER00000062,PROD00000062,2
USER00000063,PROD00000063,2
USER00000064,PROD00000064,4
USER00000065,PROD00000065,2
USER00000066,PROD00000066,2
USER00000067,PROD00000067,4
USER00000068,PROD00000068,4
